media,condition,species,g,plate,time,strainID,strain,well,time_h,batch,OD,replicate,medium_batch
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,6,DSM22959,"A. muciniphila
(DSM22959)",G7,6,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,7,DSM22959,"A. muciniphila
(DSM22959)",G7,7,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,8,DSM22959,"A. muciniphila
(DSM22959)",G7,8,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,9,DSM22959,"A. muciniphila
(DSM22959)",G7,9,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,10,DSM22959,"A. muciniphila
(DSM22959)",G7,10,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,11,DSM22959,"A. muciniphila
(DSM22959)",G7,11,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,12,DSM22959,"A. muciniphila
(DSM22959)",G7,12,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,13,DSM22959,"A. muciniphila
(DSM22959)",G7,13,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,14,DSM22959,"A. muciniphila
(DSM22959)",G7,14,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,15,DSM22959,"A. muciniphila
(DSM22959)",G7,15,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,16,DSM22959,"A. muciniphila
(DSM22959)",G7,16,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,17,DSM22959,"A. muciniphila
(DSM22959)",G7,17,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,18,DSM22959,"A. muciniphila
(DSM22959)",G7,18,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,19,DSM22959,"A. muciniphila
(DSM22959)",G7,19,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,20,DSM22959,"A. muciniphila
(DSM22959)",G7,20,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,21,DSM22959,"A. muciniphila
(DSM22959)",G7,21,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,22,DSM22959,"A. muciniphila
(DSM22959)",G7,22,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,23,DSM22959,"A. muciniphila
(DSM22959)",G7,23,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,24,DSM22959,"A. muciniphila
(DSM22959)",G7,24,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,25,DSM22959,"A. muciniphila
(DSM22959)",G7,25,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,26,DSM22959,"A. muciniphila
(DSM22959)",G7,26,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,27,DSM22959,"A. muciniphila
(DSM22959)",G7,27,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,28,DSM22959,"A. muciniphila
(DSM22959)",G7,28,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,29,DSM22959,"A. muciniphila
(DSM22959)",G7,29,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,G7P5,P5,30,DSM22959,"A. muciniphila
(DSM22959)",G7,30,1,0,3,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,0.5,DSM22959,"A. muciniphila
(DSM22959)",H7,0.5,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,1,DSM22959,"A. muciniphila
(DSM22959)",H7,1,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,2,DSM22959,"A. muciniphila
(DSM22959)",H7,2,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,3,DSM22959,"A. muciniphila
(DSM22959)",H7,3,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,4,DSM22959,"A. muciniphila
(DSM22959)",H7,4,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,5,DSM22959,"A. muciniphila
(DSM22959)",H7,5,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,6,DSM22959,"A. muciniphila
(DSM22959)",H7,6,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,7,DSM22959,"A. muciniphila
(DSM22959)",H7,7,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,8,DSM22959,"A. muciniphila
(DSM22959)",H7,8,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,9,DSM22959,"A. muciniphila
(DSM22959)",H7,9,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,10,DSM22959,"A. muciniphila
(DSM22959)",H7,10,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,11,DSM22959,"A. muciniphila
(DSM22959)",H7,11,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,12,DSM22959,"A. muciniphila
(DSM22959)",H7,12,1,0,4,GMM+LAB
GMM+LAB,With mucin,A. muciniphila,H7P5,P5,13,DSM22959,"A. muciniphila
(DSM22959)",H7,13,1,0,4,GMM+LAB
